Nombre,Municipio,Departamento,Provincia
CUARTEL II - AEROPUERTO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ESPIGAS,OLAVARRIA,OLAVARRIA,BUENOS AIRES
RECALDE,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO ELSSIRY,OLAVARRIA,OLAVARRIA,BUENOS AIRES
EL PORVENIR,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SIERRAS BAYAS,OLAVARRIA,OLAVARRIA,BUENOS AIRES
OLAVARRIA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CHACRAS DE PIBUEL,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VIRGEN DE LA LOMA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN PEDRO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CALERA AVELLANEDA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
EL MIRADOR,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN QUILCO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA SAN MIGUEL,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SIERRA CHICA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LAS PIEDRITAS,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA LA SERRANIA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ITURREGUI,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA MONICA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
BLANCAGRANDE,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CERRO SOTUYO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA HINOJO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
MAPIS,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO BELGRANO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA ARRIETA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
BLANCA CHICA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN GREGORIO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ROCHA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
HINOJO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA NIEVAS,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA PARDA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN JACINTO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA PROVIDENCIA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SANTA LUISA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
POURTALE,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA MODERNA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN ANTONIO,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA CARMELITA,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LOS CHILENOS,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO STRIEBECK,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA ITURRASPE,COLONIA ITURRASPE,CASTELLANOS,SANTA FE
COLONIA LA POSTA,AREQUITO,CASEROS,SANTA FE
AREQUITO,AREQUITO,CASEROS,SANTA FE
SAN JOSE DE AGUILAR,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
PUCALLPA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LIZOITE,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LA SOLEDAD,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
HORNILLOS,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
EL PUESTO,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LA FALDA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
RODEO PAMPA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
PUCARA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LA HUERTA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
CAMPO LA PAZ,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
PUEBLO VIEJO,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SAN FRANCISCO,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SAN JOSE,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ABRA DE SANTA CRUZ,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SANTA CRUZ,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
CHORRO,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SANTA VICTORIA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ABRA DE SAN ANTONIO,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ANTIGAL,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LAGUNA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SAN FELIPE,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SANTA CRUZ DE AGUILAR,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
MECOYITA,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ACOYTE,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
RIO PIEDRAS,RIO PIEDRAS,METAN,SALTA
LUMBRERAS,RIO PIEDRAS,METAN,SALTA
ARENALES,RIO PIEDRAS,METAN,SALTA
SAN RAMIREZ,SAN RAMIREZ,LA PAZ,ENTRE RÍOS
LIHUEL CALEL,PUELCHES,CURACO,LA PAMPA
PUELCHES,PUELCHES,CURACO,LA PAMPA
GENERAL LAGOS,GENERAL LAGOS,ROSARIO,SANTA FE
PAMPA LA PORTEÑA,CORZUELA,GENERAL BELGRANO,CHACO
CORZUELA NORTE,CORZUELA,GENERAL BELGRANO,CHACO
SAN ANTONIO,CORZUELA,GENERAL BELGRANO,CHACO
COLONIA JUAN LAVALLE,CORZUELA,GENERAL BELGRANO,CHACO
PAMPA ZAPPA,CORZUELA,GENERAL BELGRANO,CHACO
COLONIA SAN LORENZO,CORZUELA,GENERAL BELGRANO,CHACO
CAMPO CANTON,CORZUELA,GENERAL BELGRANO,CHACO
PAMPA ALSINA,CORZUELA,GENERAL BELGRANO,CHACO
CORZUELA,CORZUELA,GENERAL BELGRANO,CHACO
LA CIENAGA,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
LAS AGUADAS,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
TALA VERDE,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
EL PUESTO,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
LOS MOLLES,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
CAÑADON SECO,CAÑADON SECO,DESEADO,SANTA CRUZ
LA ESCALERA,SANAGASTA,SANAGASTA,LA RIOJA
LA TORRECITA,SANAGASTA,SANAGASTA,LA RIOJA
HUACO,SANAGASTA,SANAGASTA,LA RIOJA
VILLA SANAGASTA,SANAGASTA,SANAGASTA,LA RIOJA
ADROGUE,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
JOSE MARMOL,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
SAN JOSE,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
RAFAEL CALZADA,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
CLAYPOLE,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
MINISTRO RIVADAVIA,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
BURZACO,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
MALVINAS ARGENTINAS,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
GLEW,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
LONGCHAMPS,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
DON ORIONE,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
SAN FRANCISCO SOLANO,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
BELL VILLE,BELL VILLE,UNION,CÓRDOBA
COLONIA COMPIANI,BELL VILLE,UNION,CÓRDOBA
CALETA OLIVIA,CALETA OLIVIA,DESEADO,SANTA CRUZ
NUEVA VIZCAYA,NUEVA VIZCAYA,FEDERAL,ENTRE RÍOS
TORTUGUITAS,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
DEL VISO,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
JOSE C. PAZ,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
GARZA,GARZA,SARMIENTO,SANTIAGO DEL ESTERO
LA VIGIA,ROJAS,ROJAS,BUENOS AIRES
LA VUELTA,ROJAS,ROJAS,BUENOS AIRES
ROBERTO CANO,ROJAS,ROJAS,BUENOS AIRES
SANTA FELISA,ROJAS,ROJAS,BUENOS AIRES
LA SOLEDAD,ROJAS,ROJAS,BUENOS AIRES
LA CALDERA,ROJAS,ROJAS,BUENOS AIRES
LOS INDIOS,ROJAS,ROJAS,BUENOS AIRES
LA CONCEPCION,ROJAS,ROJAS,BUENOS AIRES
LA ROJERA,ROJAS,ROJAS,BUENOS AIRES
LA BEBA,ROJAS,ROJAS,BUENOS AIRES
BARRIO LAS MARGARITAS,ROJAS,ROJAS,BUENOS AIRES
LAS CARABELAS,ROJAS,ROJAS,BUENOS AIRES
LAS POLVAREDAS,ROJAS,ROJAS,BUENOS AIRES
LA VUELTA CHICA,ROJAS,ROJAS,BUENOS AIRES
HUNTER,ROJAS,ROJAS,BUENOS AIRES
VILLA MANUEL POMAR,ROJAS,ROJAS,BUENOS AIRES
LA TIGRA,ROJAS,ROJAS,BUENOS AIRES
ROJAS,ROJAS,ROJAS,BUENOS AIRES
ESTACION SOL DE MAYO,ROJAS,ROJAS,BUENOS AIRES
RAFAEL OBLIGADO,ROJAS,ROJAS,BUENOS AIRES
VILLA PARQUE CECIR,ROJAS,ROJAS,BUENOS AIRES
LA VERDE,ROJAS,ROJAS,BUENOS AIRES
SAN BASILIO,ROJAS,ROJAS,BUENOS AIRES
VILLA GENERAL MITRE,PINTO,AGUIRRE,SANTIAGO DEL ESTERO
SAN ROQUE,AMBOY,CALAMUCHITA,CÓRDOBA
CERRO PELADO,AMBOY,CALAMUCHITA,CÓRDOBA
AMBOY,AMBOY,CALAMUCHITA,CÓRDOBA
FLORIDA NEGRA,AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
BELLA VISTA,AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
EL SALADO,AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
SUARDI,SUARDI,SAN CRISTOBAL,SANTA FE
COLONIA SAN JOSE,HUACALERA,TILCARA,JUJUY
ALONSO,HUACALERA,TILCARA,JUJUY
VOLCAN DE YACORAITE,HUACALERA,TILCARA,JUJUY
YACORAITE,HUACALERA,TILCARA,JUJUY
HUACALERA,HUACALERA,TILCARA,JUJUY
LA TOMA,LA TOMA,CORONEL PRINGLES,SAN LUIS
MAQUINCHAO,MAQUINCHAO,25 DE MAYO,RÍO NEGRO
CALLE ANGOSTA,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
NEWTON,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
SAN MARTIN,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
CHAS,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
GENERAL BELGRANO,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
LA VERDE,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
GORCHS,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
EL DESCANSO,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
COLONIA EL SALADO,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
LAVALLE,LAVALLE,LAVALLE,CORRIENTES
PUERTO VIEJO,LAVALLE,LAVALLE,CORRIENTES
LA LOMA,LAVALLE,LAVALLE,CORRIENTES
RINCON DE SANTA LUCIA,LAVALLE,LAVALLE,CORRIENTES
RINCON DE SOTO,LAVALLE,LAVALLE,CORRIENTES
ENRIQUE URIEN,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
LA VIRUELA,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
LA MANUELA,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
LA CARLOTA,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
CAMPO COLLA,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
LAS HIGUERITAS,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
CORONEL RODRIGUEZ,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
SANTA CLARA DE BUENA VISTA,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
EL MOJON,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
EL GUANACO,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA MAZA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
SANTA CATALINA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA PIEDRA BLANCA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
AGUA DE ORO,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
POZO DE MOLINA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
POZO DEL SIMBOL,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
EL JORDAN,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA BARRANCA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
POZO DE LAS OLLAS,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
PUNTA DEL MONTE,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA VICTORIA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
SAN MIGUEL,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
ALTO DE FIERRO,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
SANTA ISABEL,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA PENCA,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
SAN ANTONIO,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA VICTORIA OESTE,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
CAMPO GRANDE,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
LA VICTORIA (E),AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
3 DE MAYO,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
GARUHAPE,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
SAN MIGUEL,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
PUERTO GARUHAPE,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
SALSACATE,SALSACATE,POCHO,CÓRDOBA
VILLA VISO,SALSACATE,POCHO,CÓRDOBA
CASA BLANCA,SALSACATE,POCHO,CÓRDOBA
TANINGA,SALSACATE,POCHO,CÓRDOBA
PUEBLO VIEJO,AREA SIN GOBIERNO,UNION,CÓRDOBA
SAN EUSEBIO,AREA SIN GOBIERNO,UNION,CÓRDOBA
LAS LAGUNITAS,AREA SIN GOBIERNO,UNION,CÓRDOBA
LA TIGRA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA LA VERDE,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA MARCOS SASTRE,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO LOS CORRALITOS,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA EL DORADO,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO LOS ALGARROBOS,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA LA CONCORDIA,AREA SIN GOBIERNO,UNION,CÓRDOBA
SAN MELITON,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAYUQUEO,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO COSTA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA LA UNION,AREA SIN GOBIERNO,UNION,CÓRDOBA
LA HERRADURA,AREA SIN GOBIERNO,UNION,CÓRDOBA
SAN SEVERO,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO SANTA RITA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA 10 DE MAYO,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA EL BALQUIN,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA EL PIQUILLIN,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA CORRAL DEL BAJO,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO LAS CHACRAS,AREA SIN GOBIERNO,UNION,CÓRDOBA
CUATRO CAMINOS,AREA SIN GOBIERNO,UNION,CÓRDOBA
POTRO MUERTO,AREA SIN GOBIERNO,UNION,CÓRDOBA
EL UCLE,AREA SIN GOBIERNO,UNION,CÓRDOBA
CORRAL DEL BAJO,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO VIONNET,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA PICO CHACO,AREA SIN GOBIERNO,UNION,CÓRDOBA
RAMON J. CARCANO,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA LA LOLA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA LA CELINA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA EL DESCANSO,AREA SIN GOBIERNO,UNION,CÓRDOBA
CNIA NORTE,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA ESPERANZA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA CORRAL DE GUARDIA,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO SANTA ELENA,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA LA LEONCITA,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO SAN ELIAS,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO LA LUISITA,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO LOS GALGOS,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO CRESPO-P/BALLESTERS,AREA SIN GOBIERNO,UNION,CÓRDOBA
CAMPO YANZI,AREA SIN GOBIERNO,UNION,CÓRDOBA
COLONIA SANTA RITA,AREA SIN GOBIERNO,UNION,CÓRDOBA
LUCA,LUCA,GENERAL SAN MARTIN,CÓRDOBA
ENRIQUE CARBO,ENRIQUE CARBO,GUALEGUAYCHU,ENTRE RÍOS
ALARCON,ENRIQUE CARBO,GUALEGUAYCHU,ENTRE RÍOS
GENERAL RACEDO,EL CARMEN - ESTACION RACEDO,DIAMANTE,ENTRE RÍOS
CARCEL,TUMBAYA,TUMBAYA,JUJUY
PUNTA CORRAL,TUMBAYA,TUMBAYA,JUJUY
COIRURO,TUMBAYA,TUMBAYA,JUJUY
AGUA BENDITA,TUMBAYA,TUMBAYA,JUJUY
TUMBAYA,TUMBAYA,TUMBAYA,JUJUY
TUMBAYA GRANDE,TUMBAYA,TUMBAYA,JUJUY
LEONES,LEONES,MARCOS JUAREZ,CÓRDOBA
EL PALMAR,MIRAFLORES,GENERAL GUEMES,CHACO
GUEMES,MIRAFLORES,GENERAL GUEMES,CHACO
LA ARMONIA,MIRAFLORES,GENERAL GUEMES,CHACO
